,Contrato,Situação
WYNDHAN-13,23*****343,atrasado
WYNDHAN-14,081********2103,atrasado
WYNDHAN-15,081********8304,atrasado
MERCURE MACAÉ-0,082********0001,atrasado
IMPERIAL-2,050********1201,atrasado
ROYAL MACAÉ PALACE-0,082********5001,atrasado
BRISA-1,050********0601,atrasado
BRISA-2,050********0001,atrasado
IBIS BOTAFOGO-0,050********0601,atrasado
IBIS BOTAFOGO-1,050********0001,atrasado
ROYAL OCEAN-2,082********0001,atrasado
BRISTOL-8,40****73,atrasado
BRISTOL-9,40****15,atrasado
RED ROOF-6,081********3402,atrasado
RED ROOF-11,20*****557,atrasado
WINDSOR GUANABARA-6,081********3402,atrasado
WINDSOR GUANABARA-11,20*****557,atrasado
WINDSOR MARAP-7,067********2201,atrasado
WINDSOR MARAP-8,26*****282,atrasado
PARADISO CORPORADE-9,20*****557,atrasado
DEL SOL-2,20*****557,atrasado
MANDAI-2,081********3402,atrasado
LOFT DOS ANJOS-0,080********3405,atrasado
LOFT DOS ANJOS-1,080********6204,atrasado
LOFT DOS ANJOS-2,40****87,atrasado
LOFT DOS ANJOS-4,21*****935,atrasado
LOFT DOS ANJOS-5,26*****466,atrasado
SOLAR DO ARCO-4,067********2201,atrasado
SOLAR DO ARCO-5,26*****282,atrasado
WINDSOR MARTINIQUE-4,067********2201,atrasado
WINDSOR MARTINIQUE-5,26*****282,atrasado
WINDSOR COPA-2,081********9209,atrasado
WINDSOR COPA-5,080********3405,atrasado
WINDSOR COPA-6,080********6204,atrasado
WINDSOR COPA-7,40****87,atrasado
WINDSOR COPA-9,21*****935,atrasado
WINDSOR COPA-10,26*****466,atrasado
WINDSOR PALACE-4,080********3405,atrasado
WINDSOR PALACE-5,080********6204,atrasado
WINDSOR PALACE-6,40****87,atrasado
WINDSOR PALACE-8,21*****935,atrasado
WINDSOR PALACE-9,26*****466,atrasado
WINDSOR FLORIDA-2,050********2303,atrasado
WINDSOR FLORIDA-5,067********2201,atrasado
WINDSOR FLORIDA-6,26*****282,atrasado
SUN VICTORY-4,081********2504,atrasado
OTHON COPA-4,081********2504,atrasado
