,Contrato,Situação
WYNDHAN-0,41****67,pendente
WYNDHAN-1,41****79,pendente
WYNDHAN-2,41****27,pendente
WYNDHAN-3,41****63,pendente
WYNDHAN-4,41****94,pendente
WYNDHAN-5,41****53,pendente
WYNDHAN-6,41****61,pendente
WYNDHAN-7,41****00,pendente
WYNDHAN-8,41****28,pendente
WYNDHAN-9,40****85,pendente
WYNDHAN-10,40****65,pendente
WYNDHAN-11,40****02,pendente
WYNDHAN-12,40****14,pendente
WYNDHAN-16,26*****558,pendente
WYNDHAN-17,38****65,pendente
WYNDHAN-18,39****90,pendente
WYNDHAN-19,38****69,pendente
WYNDHAN-20,39****42,pendente
WYNDHAN-21,42****13,pendente
WYNDHAN-22,42****87,pendente
WYNDHAN-23,42****20,pendente
SOFT INN-0,42****13,pendente
SOFT INN-1,42****87,pendente
SOFT INN-2,42****20,pendente
SOFT INN-3,38****65,pendente
SOFT INN-4,39****90,pendente
SOFT INN-5,38****69,pendente
SOFT INN-6,39****42,pendente
QUALITY BOTAFOGO-0,42****13,pendente
QUALITY BOTAFOGO-1,42****87,pendente
QUALITY BOTAFOGO-2,42****20,pendente
QUALITY BOTAFOGO-3,38****65,pendente
QUALITY BOTAFOGO-4,39****90,pendente
QUALITY BOTAFOGO-5,38****69,pendente
QUALITY BOTAFOGO-6,39****42,pendente
MERCURE MACAÉ-1,41****42,pendente
MERCURE MACAÉ-2,41****85,pendente
MERCURE MACAÉ-3,41****45,pendente
MERCURE MACAÉ-4,41****50,pendente
MERCURE MACAÉ-5,41****10,pendente
MERCURE MACAÉ-6,41****82,pendente
MERCURE MACAÉ-7,41****54,pendente
MERCURE MACAÉ-8,41****99,pendente
ROYALTI BARRA-0,41****10,pendente
ROYALTI BARRA-1,41****82,pendente
ROYALTI BARRA-2,41****54,pendente
ROYALTI BARRA-3,41****99,pendente
ROYALTI BARRA-4,38****65,pendente
ROYALTI BARRA-5,39****90,pendente
ROYALTI BARRA-6,38****69,pendente
ROYALTI BARRA-7,39****42,pendente
ROYALTI COPA-0,38****65,pendente
ROYALTI COPA-1,39****90,pendente
ROYALTI COPA-2,38****69,pendente
ROYALTI COPA-3,39****42,pendente
NOVOTEL-0,38****65,pendente
NOVOTEL-1,39****90,pendente
NOVOTEL-2,38****69,pendente
NOVOTEL-3,39****42,pendente
NOVOTEL-4,41****39,pendente
NOVOTEL-5,41****13,pendente
NOVOTEL-6,41****50,pendente
NOVOTEL-7,41****60,pendente
PESTANA COPA-0,41****39,pendente
PESTANA COPA-1,41****13,pendente
PESTANA COPA-2,41****50,pendente
PESTANA COPA-3,41****60,pendente
PESTANA COPA-4,41****01,pendente
PESTANA COPA-5,42****93,pendente
PESTANA COPA-6,42****72,pendente
PESTANA COPA-7,42****53,pendente
PESTANA COPA-8,41****45,pendente
PESTANA COPA-9,41****33,pendente
PESTANA COPA-10,41****84,pendente
PESTANA COPA-11,41****19,pendente
ANGRA-0,41****45,pendente
ANGRA-1,41****33,pendente
ANGRA-2,41****84,pendente
ANGRA-3,41****19,pendente
IBIS JACAREP-0,41****45,pendente
IBIS JACAREP-1,41****33,pendente
IBIS JACAREP-2,41****84,pendente
IBIS JACAREP-3,41****19,pendente
GI LAFAIETE-0,39****06,pendente
GI LAFAIETE-1,39****49,pendente
GI LAFAIETE-2,40****19,pendente
GI LAFAIETE-3,40****70,pendente
GI LAFAIETE-4,41****41,pendente
GI LAFAIETE-5,41****64,pendente
GI LAFAIETE-6,42****25,pendente
GI LAFAIETE-7,42****40,pendente
IBIS MACAÉ-0,39****13,pendente
IBIS MACAÉ-1,41****92,pendente
IBIS MACAÉ-2,39****04,pendente
IBIS MACAÉ-3,39****60,pendente
IBIS MACAÉ-4,41****45,pendente
IBIS MACAÉ-5,41****33,pendente
IBIS MACAÉ-6,41****84,pendente
IBIS MACAÉ-7,41****19,pendente
PESTANA SP-0,39****13,pendente
PESTANA SP-1,41****92,pendente
PESTANA SP-2,39****04,pendente
PESTANA SP-3,39****60,pendente
PESTANA SP-4,41****45,pendente
PESTANA SP-5,41****33,pendente
PESTANA SP-6,41****84,pendente
PESTANA SP-7,41****19,pendente
IBIS CENTRO-0,39****13,pendente
IBIS CENTRO-1,41****92,pendente
IBIS CENTRO-2,39****04,pendente
IBIS CENTRO-3,39****60,pendente
IBIS CENTRO-4,41****45,pendente
IBIS CENTRO-5,41****33,pendente
IBIS CENTRO-6,41****84,pendente
IBIS CENTRO-7,41****19,pendente
NOVOTEL CENTRO-0,41****45,pendente
NOVOTEL CENTRO-1,41****33,pendente
NOVOTEL CENTRO-2,41****84,pendente
NOVOTEL CENTRO-3,41****19,pendente
NOVOTEL CENTRO-4,40****12,pendente
NOVOTEL CENTRO-5,061********0003,pendente
NOVOTEL CENTRO-6,40****29,pendente
NOVOTEL CENTRO-7,061********0105,pendente
NOVOTEL CENTRO-8,40****58,pendente
IBIS BARRA-0,41****45,pendente
IBIS BARRA-1,41****33,pendente
IBIS BARRA-2,41****84,pendente
IBIS BARRA-3,41****19,pendente
IBIS BARRA-4,40****12,pendente
IBIS BARRA-5,061********0003,pendente
IBIS BARRA-6,40****29,pendente
IBIS BARRA-7,061********0105,pendente
IBIS BARRA-8,40****58,pendente
AROSA CENTRO-0,40****12,pendente
AROSA CENTRO-1,061********0003,pendente
AROSA CENTRO-2,40****29,pendente
AROSA CENTRO-3,061********0105,pendente
AROSA CENTRO-4,40****58,pendente
BW ARPEX-0,41****60,pendente
BW ARPEX-1,41****47,pendente
BW ARPEX-2,41****05,pendente
BW ARPEX-3,41****36,pendente
ATLÂNTICA SUÍTES-0,41****69,pendente
ATLÂNTICA SUÍTES-1,41****83,pendente
ATLÂNTICA SUÍTES-2,41****68,pendente
ATLÂNTICA SUÍTES-3,41****71,pendente
GOLDEN TULIP MACAÉ-0,41****78,pendente
GOLDEN TULIP MACAÉ-1,41****22,pendente
GOLDEN TULIP MACAÉ-2,41****75,pendente
GOLDEN TULIP MACAÉ-3,41****80,pendente
VILAMAR-0,41****78,pendente
VILAMAR-1,41****22,pendente
VILAMAR-2,41****75,pendente
VILAMAR-3,41****80,pendente
PROMENADE-0,41****35,pendente
PROMENADE-1,41****62,pendente
PROMENADE-2,41****39,pendente
PROMENADE-3,41****77,pendente
PROMENADE-4,41****45,pendente
PROMENADE-5,41****33,pendente
PROMENADE-6,41****84,pendente
PROMENADE-7,41****19,pendente
PESTANA CURITIBA-0,41****45,pendente
PESTANA CURITIBA-1,41****33,pendente
PESTANA CURITIBA-2,41****84,pendente
PESTANA CURITIBA-3,41****19,pendente
IBIS NOVA-0,41****45,pendente
IBIS NOVA-1,41****33,pendente
IBIS NOVA-2,41****84,pendente
IBIS NOVA-3,41****19,pendente
IBIS COPA-0,41****45,pendente
IBIS COPA-1,41****33,pendente
IBIS COPA-2,41****84,pendente
IBIS COPA-3,41****19,pendente
C DESING-0,41****71,pendente
C DESING-1,41****81,pendente
C DESING-2,41****31,pendente
C DESING-3,41****45,pendente
C DESING-4,41****33,pendente
C DESING-5,41****84,pendente
C DESING-6,41****19,pendente
C DESING-7,41****10,pendente
C DESING-8,41****82,pendente
C DESING-9,41****54,pendente
C DESING-10,41****99,pendente
PIER BEACH MAGNOLIA-0,41****06,pendente
PIER BEACH MAGNOLIA-1,41****93,pendente
PIER BEACH MAGNOLIA-2,41****80,pendente
PIER BEACH MAGNOLIA-3,41****38,pendente
IMPERIAL-0,41****32,pendente
IMPERIAL-1,41****47,pendente
IMPERIAL-3,41****02,pendente
IMPERIAL-4,41****70,pendente
ROYAL MACAÉ PALACE-1,41****81,pendente
ROYAL MACAÉ PALACE-2,41****74,pendente
ROYAL MACAÉ PALACE-3,41****41,pendente
ROYAL MACAÉ PALACE-4,41****86,pendente
ROYAL MACAÉ PALACE-5,41****45,pendente
ROYAL MACAÉ PALACE-6,41****33,pendente
ROYAL MACAÉ PALACE-7,41****84,pendente
ROYAL MACAÉ PALACE-8,41****19,pendente
ROYAL ATLANTICA-0,41****40,pendente
ROYAL ATLANTICA-1,41****43,pendente
ROYAL ATLANTICA-2,41****44,pendente
ROYAL ATLANTICA-3,41****45,pendente
ROYAL ATLANTICA-4,41****33,pendente
ROYAL ATLANTICA-5,41****84,pendente
ROYAL ATLANTICA-6,41****19,pendente
RESID SOPHIA-0,41****45,pendente
RESID SOPHIA-1,41****33,pendente
RESID SOPHIA-2,41****84,pendente
RESID SOPHIA-3,41****19,pendente
BW COPA-0,41****97,pendente
BW COPA-1,41****01,pendente
BW COPA-2,41****03,pendente
BW COPA-3,41****45,pendente
BW COPA-4,41****33,pendente
BW COPA-5,41****84,pendente
BW COPA-6,41****19,pendente
BRISA-0,41****32,pendente
IBIS BOTAFOGO-2,41****45,pendente
IBIS BOTAFOGO-3,41****33,pendente
IBIS BOTAFOGO-4,41****84,pendente
IBIS BOTAFOGO-5,41****19,pendente
BW JACARÉ-0,41****93,pendente
BW JACARÉ-1,41****31,pendente
BW JACARÉ-2,41****67,pendente
BW JACARÉ-3,41****08,pendente
BW JACARÉ-4,42****13,pendente
BW JACARÉ-5,42****45,pendente
BW JACARÉ-6,42****70,pendente
BW JACARÉ-7,42****17,pendente
PESTANA BAHIA-0,41****93,pendente
PESTANA BAHIA-1,41****31,pendente
PESTANA BAHIA-2,41****67,pendente
PESTANA BAHIA-3,41****08,pendente
PESTANA BAHIA-4,42****13,pendente
PESTANA BAHIA-5,42****45,pendente
PESTANA BAHIA-6,42****70,pendente
PESTANA BAHIA-7,42****17,pendente
DUBAI-0,41****76,pendente
DUBAI-1,41****18,pendente
DUBAI-2,41****97,pendente
DUBAI-3,41****07,pendente
DUBAI-4,42****13,pendente
DUBAI-5,42****45,pendente
DUBAI-6,42****70,pendente
DUBAI-7,42****17,pendente
BW CAXIAS-0,42****13,pendente
BW CAXIAS-1,42****45,pendente
BW CAXIAS-2,42****70,pendente
BW CAXIAS-3,42****17,pendente
ROYAL OCEAN-0,41****58,pendente
ROYAL OCEAN-1,41****51,pendente
ROYAL OCEAN-3,41****87,pendente
ROYAL OCEAN-4,41****25,pendente
ROYAL OCEAN-5,41****45,pendente
ROYAL OCEAN-6,41****33,pendente
ROYAL OCEAN-7,41****84,pendente
ROYAL OCEAN-8,41****19,pendente
HOSPITAL INFANTIL-0,41****45,pendente
HOSPITAL INFANTIL-1,41****33,pendente
HOSPITAL INFANTIL-2,41****84,pendente
HOSPITAL INFANTIL-3,41****19,pendente
PARADISO MC-0,41****20,pendente
PARADISO MC-1,41****25,pendente
PARADISO MC-2,41****29,pendente
PARADISO MC-3,41****71,pendente
PARADISO MC-4,42****93,pendente
PARADISO MC-5,42****34,pendente
PARADISO MC-6,42****72,pendente
PARADISO MC-7,42****89,pendente
BRISTOL-0,41****40,pendente
BRISTOL-1,41****94,pendente
BRISTOL-2,41****47,pendente
BRISTOL-3,41****99,pendente
BRISTOL-4,41****78,pendente
BRISTOL-5,41****72,pendente
BRISTOL-6,41****25,pendente
BRISTOL-7,41****79,pendente
RED ROOF-0,41****38,pendente
RED ROOF-1,41****61,pendente
